time,O2,CH4,OH,H2O,O3_col,S8AER_col,T_time,O2_flux,ri_flux,change_during_glaciations
3153600000000.0,2.379859057846907e-08,0.00022400591968972604,2.9217378627807714e-15,0.006862251048294652,575047458779.7961,489109655709766.44,290.0,999999999999.9999,33000000000.0,False
6307200000000.0,2.3823617278866042e-08,0.00022548320457210352,2.9029225000904036e-15,0.006862250398600246,571695757122.6184,489148870006394.94,290.0,1000888888888.8888,33000000000.0,False
9460800000000.002,2.3852284516259532e-08,0.00022591670307639034,2.899443544386002e-15,0.006862250247404922,571320593177.1205,489139889580252.1,290.0,1001777777777.7777,33000000000.0,False
12614400000000.0,2.3882142426886918e-08,0.00022600276369336863,2.901012693687435e-15,0.006862250261931831,571925645026.4012,489115866506710.2,290.0,1002666666666.6665,33000000000.0,False
15768000000000.0,2.391243472625169e-08,0.00022596907843725045,2.9043217091286956e-15,0.0068622503336319505,572869391851.6218,489086084214190.75,290.0,1003555555555.5554,33000000000.0,False
18921600000000.004,2.3942901933620556e-08,0.000225889114270412,2.9083045296792057e-15,0.006862250427244197,573944668468.7795,489054238102949.5,290.0,1004444444444.4443,33000000000.0,False
22075200000000.004,2.3973449564890875e-08,0.00022579128965124714,2.9125498383859314e-15,0.006862250529201553,575071645913.851,489021518446652.75,290.0,1005333333333.3333,33000000000.0,False
25228800000000.0,2.4004024113228796e-08,0.00022569042992015955,2.9168418694421715e-15,0.006862250632395671,576208356073.7246,488988702965620.1,290.0,1006222222222.222,33000000000.0,False
28382400000000.0,2.4034628893928612e-08,0.00022558615419971333,2.9211869345767917e-15,0.0068622507370392155,577356072262.658,488955682546529.3,290.0,1007111111111.111,33000000000.0,False
31536000000000.0,2.4065251414621272e-08,0.00022548167987484737,2.925537653585983e-15,0.006862250841569959,578505559753.3075,488922675814643.6,290.0,1007999999999.9999,33000000000.0,False
34689600000000.004,2.4095894463802805e-08,0.00022537659171625144,2.9299005396012525e-15,0.006862250946211015,579658106395.7603,488889598380088.5,290.0,1008888888888.8888,33000000000.0,False
37843200000000.01,2.412655654848841e-08,0.00022527094114821583,2.934274622716642e-15,0.006862251050919296,580813504280.4825,488856510945239.56,290.0,1009777777777.7777,33000000000.0,False
40996800000000.0,2.4157248114490064e-08,0.00022516205590811667,2.9386993828555644e-15,0.006862251156966384,581979446739.5447,488823260926945.5,290.0,1010666666666.6665,33000000000.0,False
44150400000000.01,2.418795520250543e-08,0.00022505381054012234,2.9431178999503913e-15,0.0068622512625156765,583144860027.062,488790031241509.3,290.0,1011555555555.5554,33000000000.0,False
47304000000000.0,2.4218675667255854e-08,0.0002249467385762539,2.947522181678634e-15,0.006862251367311746,584308182167.838,488756858445410.25,290.0,1012444444444.4443,33000000000.0,False
50457600000000.0,2.4249424154436024e-08,0.0002248370602256373,2.9519684064558598e-15,0.006862251473162091,585480372043.4823,488723517158888.06,290.0,1013333333333.3333,33000000000.0,False
53611200000000.01,2.4280188033148082e-08,0.0002247279805692234,2.9564087292732403e-15,0.0068622515785204796,586652096820.8856,488690222622042.9,290.0,1014222222222.222,33000000000.0,False
56764800000000.0,2.4310952330650954e-08,0.0002246237990076006,2.960779675552339e-15,0.006862251681386054,587810984485.3175,488657125691594.1,290.0,1015111111111.111,33000000000.0,False
59918400000000.01,2.4341768071487456e-08,0.0002245100419641965,2.9652959820266517e-15,0.006862251788561529,588998861030.5051,488623628838213.56,290.0,1015999999999.9999,33000000000.0,False
63072000000000.0,2.4372578455179757e-08,0.00022440329591868875,2.969711417493996e-15,0.006862251892261111,590167806712.1876,488590363798642.4,290.0,1016888888888.8888,33000000000.0,False
66225600000000.0,2.4403433301923252e-08,0.00022428898136429216,2.9742430193218812e-15,0.006862251999325159,591360057363.2834,488556781303176.3,290.0,1017777777777.7776,33000000000.0,False
69379200000000.01,2.4434311025227486e-08,0.00022417342375582807,2.9787966076727294e-15,0.006862252106771399,592557269301.2034,488523138172602.75,290.0,1018666666666.6665,33000000000.0,False
72532800000000.02,2.446520860392043e-08,0.00022405753155162569,2.983358780495174e-15,0.006862252214180263,593756865908.5951,488489458591327.6,290.0,1019555555555.5554,33000000000.0,False
75686400000000.02,2.4496115598341606e-08,0.0002239439975497788,2.987889188388676e-15,0.006862252320290313,594950956713.9541,488455878427028.3,290.0,1020444444444.4443,33000000000.0,False
78840000000000.0,2.452701882708277e-08,0.00022383652709172038,2.992331806249698e-15,0.006862252423366322,596128630610.1425,488422553724429.3,290.0,1021333333333.3333,33000000000.0,False
81993600000000.0,2.4557982897851074e-08,0.00022371742606657564,2.996953004377658e-15,0.006862252531703928,597341808257.8453,488388697656781.6,290.0,1022222222222.222,33000000000.0,False
85147200000000.0,2.458893445425123e-08,0.00022360672620092898,3.001443074677963e-15,0.006862252635394655,598527393846.9459,488355929238628.94,290.0,1023111111111.111,33000000000.0,False
88300800000000.02,2.46199479492337e-08,0.0002234844699957387,3.0061271737133264e-15,0.006862252745331992,599756950279.5938,488321175574259.44,290.0,1023999999999.9999,33000000000.0,False
91454400000000.02,2.465096396663254e-08,0.000223366249859848,3.010745922220934e-15,0.006862252852656831,600971725024.3168,488287355092051.75,290.0,1024888888888.8888,33000000000.0,False
94608000000000.0,2.4682007906767816e-08,0.00022324598020712975,3.0153999273564664e-15,0.006862252960768322,602194092101.9286,488253357280809.75,290.0,1025777777777.7776,33000000000.0,False
97761600000000.0,2.471306941303219e-08,0.0002231258518597293,3.0200554577773635e-15,0.006862253068608465,603417450129.6271,488219382375797.7,290.0,1026666666666.6665,33000000000.0,False
