time,O2,CH4,OH,H2O,O3_col,S8AER_col,T_time,O2_flux
31536000000000.0,3.099310792244304e-08,0.00030091710250100236,2.8619830198265984e-15,0.0002762235998389221,4121146055807.051,226563980275169.25,250.0,1000000000000.0
31536000000000.0,2.8466376920617458e-08,0.00032236782794688195,2.4041980366179887e-15,0.0007086637490087381,1977498144429.0574,321149901166970.44,260.0,1000000000000.0
31536000000000.0,2.578715662444351e-08,0.00030567648413643104,2.4316428252892695e-15,0.0016955584725938954,1049592036003.6998,462593860498470.9,270.0,1000000000000.0
31536000000000.0,2.4025000092886015e-08,0.00016107472358572412,4.78913503639033e-15,0.0035676672078704453,1118696626616.526,433780586369415.8,280.0,1000000000000.0
31536000000000.0,2.379059866473226e-08,0.0002263277672544506,2.887847434996236e-15,0.006862249938816362,568469352743.8162,489215276265258.44,290.0,1000000000000.0
31536000000000.0,2.5555241230685238e-08,6.544033791342842e-05,9.396648767641802e-15,0.012541836012483133,1426851068884.6216,546138276311049.44,300.0,1000000000000.0
31536000000000.0,2.9602366105922423e-08,2.1675509810855188e-05,2.4070726981465376e-14,0.02178232217908962,1506394217971.2449,460842500030658.06,310.0,1000000000000.0
31536000000000.0,3.174313737159859e-08,1.2359523486803954e-05,3.595388422252664e-14,0.035941914773481,1137403525463.9976,309015627875991.5,320.0,1000000000000.0
31536000000000.0,3.142852672400612e-08,8.764199460366387e-06,4.3565560968416453e-14,0.05625206595168824,992954682784.3341,216351992758730.28,330.0,1000000000000.0
31536000000000.0,3.244360693138614e-08,5.718686366477761e-06,5.1038602801101504e-14,0.08330968762389435,1137105097367.204,75386685472935.44,340.0,1000000000000.0
31536000000000.0,4.96586635873719e-08,2.0448102477865077e-06,7.079964904063605e-14,0.1163827087353916,2741622255129.1523,44798414066.62668,350.0,1000000000000.0
31536000000000.0,3.282075915444962e-08,0.00029566103650665156,3.14179447145347e-15,0.00027622393004348925,4430833275087.532,190512947450305.2,250.0,1050000000000.0
31536000000000.0,3.0252261491473436e-08,0.0003158822969868737,2.6382958832026213e-15,0.0007086646743697731,2170311876952.2407,293872043361578.9,260.0,1050000000000.0
31536000000000.0,2.7591902375739767e-08,0.00029700843012506824,2.675614161178621e-15,0.0016955607114416229,1178549678139.5615,441553731608011.4,270.0,1050000000000.0
31536000000000.0,2.5956700779026557e-08,0.00014466078552878578,5.650407863731503e-15,0.003567671538012881,1326972535719.9585,412302821493112.7,280.0,1050000000000.0
31536000000000.0,2.55475023982525e-08,0.0002202281216961169,3.1381925289435845e-15,0.006862255717890562,635745454171.2681,487291634267648.4,290.0,1050000000000.0
31536000000000.0,2.8125611614693502e-08,5.6717038780393955e-05,1.1232270777110207e-14,0.012541842844645292,1674425551522.1912,535803135858058.56,300.0,1050000000000.0
31536000000000.0,3.268194700702512e-08,2.1199292116707188e-05,2.519348551019629e-14,0.02178232308510982,1613692881483.7988,448320100594432.7,310.0,1050000000000.0
31536000000000.0,3.5564453484581285e-08,1.199112285515969e-05,3.739832706253195e-14,0.03594191561435437,1276201639205.7346,288691083535926.5,320.0,1050000000000.0
31536000000000.0,3.555015792721486e-08,8.418671239710914e-06,4.5240018967431765e-14,0.056252066845664486,1157867696667.5938,190672229357025.44,330.0,1050000000000.0
31536000000000.0,3.7399766795673464e-08,5.343008614496988e-06,5.3381421784735426e-14,0.08330968871388601,1379803429056.6184,53192287564025.14,340.0,1050000000000.0
31536000000000.0,0.0020544743898809887,4.680498038360396e-08,2.609125426493416e-12,0.11638351638289013,1.5393579124895162e+16,1.8002608415881087e-53,350.0,1050000000000.0
31536000000000.0,3.4649629859456763e-08,0.0002883455136065327,3.464706201315005e-15,0.00027622427576513045,4744879839292.322,156763711359752.9,250.0,1100000000000.0
31536000000000.0,3.209494869195068e-08,0.00030756600959058495,2.9009306129499066e-15,0.0007086656086555521,2380144632854.23,266789313177183.1,260.0,1100000000000.0
31536000000000.0,2.943059473050534e-08,0.00028501860356163313,2.974247993111358e-15,0.0016955631282854105,1323921334048.5615,418105262014489.3,270.0,1100000000000.0
31536000000000.0,2.8046738037117277e-08,0.00012800062685621634,6.729129782407567e-15,0.0035676755065769702,1575614809810.5212,388084259157232.8,280.0,1100000000000.0
31536000000000.0,2.7366220118585154e-08,0.00021157915922866247,3.4454046275323475e-15,0.006862262058981549,715732044366.3903,485236643113797.9,290.0,1100000000000.0
31536000000000.0,3.0747003050662213e-08,5.20634452977487e-05,1.263455428446983e-14,0.012541846581918606,1863486422398.3162,526606042737906.6,300.0,1100000000000.0
31536000000000.0,3.604833660309972e-08,2.0755250278134518e-05,2.6246814226459292e-14,0.02178232389985512,1729756695823.3826,436116244226089.1,310.0,1100000000000.0
31536000000000.0,3.9752173564507003e-08,1.1605018566789917e-05,3.881417990109956e-14,0.03594191643040304,1425476448965.6008,267116441906637.78,320.0,1100000000000.0
31536000000000.0,4.013357564147193e-08,8.049118793919602e-06,4.6969725509458653e-14,0.056252067743451414,1341045459885.051,163632114123919.4,330.0,1100000000000.0
31536000000000.0,4.329141975255886e-08,4.918720951912209e-06,5.618249222314884e-14,0.0833096899024855,1667911765289.6423,32299084510678.56,340.0,1100000000000.0
31536000000000.0,0.002746286129384751,4.679639557686408e-08,2.858168894465227e-12,0.1163837864272685,1.974261268974711e+16,5.948959806542638e-54,350.0,1100000000000.0
31536000000000.0,3.6512671522496246e-08,0.00027922369077041,3.834820118478379e-15,0.00027622462991989,5071354534657.352,126326928855563.38,250.0,1150000000000.0002
