O2,CH4,O3,H2O,OH,H2,CO,T_time,alt,rh,time,O2_flux,ri_flux,change_during_glaciations
3.866803219474524e-08,0.00013994846060991675,6.615762312675373e-13,0.006862296703733025,6.466191871143083e-15,0.00016372643927835848,2.8384956962868706e-06,290.0,25000.0,0.35000000000000003,1261440000000000.0,1354666666666.6665,33000000000.0,False
1.764315706729972e-08,0.0001399372097231649,2.9157960219762615e-13,0.006259232185326881,8.785469100487999e-15,0.0001637284071430086,2.8384271375798752e-06,287.6626158997753,75000.0,0.35,1261440000000000.0,1354666666666.6665,33000000000.0,False
4.563693884087416e-09,0.00013992868403892004,6.055372214620203e-14,0.005666127016171168,1.1137156202645396e-14,0.00016373360051171614,2.83867764632978e-06,285.2448863044789,125000.0,0.35,1261440000000000.0,1354666666666.6665,33000000000.0,False
3.8256089195345987e-10,0.00013992328875645673,3.4663973000630242e-15,0.005080366773413255,7.681900820121811e-15,0.00016374257875496288,2.839877144019724e-06,282.72231287287286,175000.0,0.35,1261440000000000.0,1354666666666.6665,33000000000.0,False
2.5870538620886172e-11,0.00013991926277508664,1.4073768752996613e-16,0.004510673354018051,3.1301433986128486e-15,0.00016375353308327602,2.8421970396488578e-06,280.0984743309797,225000.0,0.35000000000000003,1261440000000000.0,1354666666666.6665,33000000000.0,False
2.2664440243841787e-12,0.00013991531943011732,9.424073512973772e-18,0.003958731466491342,2.1976726535791148e-15,0.00016376480562550717,2.8452324752181957e-06,277.355427447546,275000.0,0.35,1261440000000000.0,1354666666666.6665,33000000000.0,False
2.2396001980507056e-13,0.00013991128967778962,9.295482571573497e-19,0.0034267635618882163,2.0994735207376334e-15,0.00016377623920837454,2.848879792828537e-06,274.47150629051606,325000.0,0.35,1261440000000000.0,1354666666666.6665,33000000000.0,False
3.604791262132735e-14,0.00013990714147878804,1.5761461307338812e-19,0.002866642379968216,2.207578639279151e-15,0.00016378781033115557,2.8531879938037873e-06,271.40973663360654,375000.0,0.35,1261440000000000.0,1354666666666.6665,33000000000.0,False
1.6638866967186082e-14,0.00013990286222750932,8.253003282099696e-20,0.002319154963615655,2.4159783622412e-15,0.00016379948715951144,2.85821398466557e-06,268.1645108941888,425000.0,0.35,1261440000000000.0,1354666666666.6665,33000000000.0,False
1.465132117941992e-14,0.00013989844386949447,9.06732204501583e-20,0.0018282447776120894,2.6786462715598144e-15,0.0001638112394848364,2.864007683094659e-06,264.6908487991124,475000.0,0.35,1261440000000000.0,1354666666666.6665,33000000000.0,False
