time,O2,CH4,OH,H2O,O3_col,S8AER_col,T_time,O2_flux,ri_flux,change_during_glaciations
40996800000000.0,1.4072120656345893e-07,2.0030295769210555e-05,3.988377307500089e-14,0.006862334142983029,6271567826003.064,47430948606427.27,290.0,2000000000000.0,21999999999.999992,True
44150400000000.01,1.407212285291609e-07,2.0030286348480812e-05,3.988378789758992e-14,0.006862334142985199,6271567582619.753,47430877959364.56,290.0,2000000000000.0,21999999999.999992,True
47304000000000.0,1.4072120688337957e-07,2.0030292149209938e-05,3.9883779707186675e-14,0.0068623341429835645,6271568898272.594,47430944322722.77,290.0,2000000000000.0,21999999999.999992,True
50457600000000.0,1.4072137902572884e-07,2.0030247108946793e-05,3.988384196032407e-14,0.0068623341429961465,6271559275040.702,47430414462694.57,290.0,2000000000000.0,21999999999.999992,True
53611200000000.01,1.4072090893367215e-07,2.0030367927843753e-05,3.988367481830489e-14,0.006862334142961804,6271587806903.423,47431857230031.38,290.0,2000000000000.0,21999999999.999992,True
56764800000000.0,1.4072237994934212e-07,2.0029991351733225e-05,3.98841924042456e-14,0.006862334143068332,6271501940171.654,47427341049664.05,290.0,2000000000000.0,21999999999.999992,True
59918400000000.01,1.4072173051935204e-07,2.00301552354739e-05,3.98839673456075e-14,0.006862334143021416,6271541653744.502,47429333517764.52,290.0,2000000000000.0,21999999999.999992,True
63072000000000.0,1.407214944037625e-07,2.0030215374624998e-05,3.988388357422179e-14,0.006862334143004038,6271557250366.096,47430055163770.414,290.0,2000000000000.0,21999999999.999992,True
66225600000000.0,1.4072093698209043e-07,2.003036725948908e-05,3.9883677609637365e-14,0.00686233414296417,6271577555561.611,47431783390089.94,290.0,2000000000000.0,21999999999.999992,True
69379200000000.01,1.4072063552345774e-07,2.003043371406827e-05,3.988358544722087e-14,0.006862334142942371,6271606374630.731,47432690906742.09,290.0,2000000000000.0,21999999999.999992,True
72532800000000.02,1.407210743039891e-07,2.0030324020844908e-05,3.988373675172093e-14,0.006862334142974233,6271577452631.396,47431350818004.164,290.0,2000000000000.0,21999999999.999992,True
75686400000000.02,1.407207055070296e-07,2.0030414409471202e-05,3.988361009658182e-14,0.0068623341429469775,6271606114154.946,47432469580996.016,290.0,2000000000000.0,21999999999.999992,True
78840000000000.0,1.407212075352616e-07,2.0030291815847006e-05,3.988378063490278e-14,0.006862334142983739,6271568390341.3955,47430942500859.734,290.0,2000000000000.0,21999999999.999992,True
81993600000000.0,1.407212220109106e-07,2.0030288341474544e-05,3.988378492488287e-14,0.0068623341429846565,6271567973372.768,47430898087267.86,290.0,2000000000000.0,21999999999.999992,True
85147200000000.0,1.4072113817862787e-07,2.0030308838555952e-05,3.9883757397789935e-14,0.006862334142978775,6271572918296.257,47431154878655.125,290.0,2000000000000.0,21999999999.999992,True
88300800000000.02,1.4072182699097697e-07,2.0030131070170996e-05,3.9884001367457255e-14,0.006862334143028592,6271534520561.26,47429033215805.39,290.0,2000000000000.0,21999999999.999992,True
91454400000000.02,1.4072149167301563e-07,2.003021018022016e-05,3.9883886963379326e-14,0.006862334143002988,6271567967581.314,47430048219251.6,290.0,2000000000000.0,21999999999.999992,True
94608000000000.0,1.4072104409561907e-07,2.0030335064188935e-05,3.988371953975939e-14,0.006862334142971438,6271578853382.731,47431443805501.61,290.0,2000000000000.0,21999999999.999992,True
97761600000000.0,1.4072117163842236e-07,2.0030300400131195e-05,3.988376906155262e-14,0.00686233414298121,6271570758099.665,47431052089632.42,290.0,2000000000000.0,21999999999.999992,True
100915200000000.0,1.407212090095491e-07,2.003029156951122e-05,3.988378075003444e-14,0.006862334142983786,6271568477321.326,47430938328800.97,290.0,2000000000000.0,21999999999.999992,True
104068800000000.02,1.4072119963241511e-07,2.003029393584742e-05,3.988377734280148e-14,0.006862334142983066,6271569265666.351,47430966554378.21,290.0,2000000000000.0,21999999999.999992,True
107222400000000.02,1.4072121008929006e-07,2.0030291215928877e-05,3.9883780443506554e-14,0.006862334142983661,6271569545773.361,47430933577439.78,290.0,2000000000000.0,21999999999.999992,True
110376000000000.0,1.4072111687487418e-07,2.0030318334517824e-05,3.988374605208916e-14,0.006862334142977583,6271568088104.112,47431230165340.164,290.0,2000000000000.0,21999999999.999992,True
113529600000000.0,1.4072031924271967e-07,2.0030527970761772e-05,3.988345594716879e-14,0.006862334142919203,6271612317908.422,47433701456631.234,290.0,2000000000000.0,21999999999.999992,True
116683200000000.0,1.4072117796910372e-07,2.0030300000812244e-05,3.988376945203119e-14,0.006862334142981604,6271569443703.719,47431036802250.48,290.0,2000000000000.0,21999999999.999992,True
119836800000000.02,1.407207545187342e-07,2.0030410853075522e-05,3.988361673422502e-14,0.006862334142950779,6271592455719.934,47432337846035.41,290.0,2000000000000.0,21999999999.999992,True
122990400000000.02,1.407221899588032e-07,2.003004662832292e-05,3.9884114480202006e-14,0.0068623341430539275,6271509384701.298,47427934151775.23,290.0,2000000000000.0,21999999999.999992,True
126144000000000.0,1.4072100061532577e-07,2.0030355920845656e-05,3.988367926644409e-14,0.006862334142965039,6271587887100.874,47431576905293.2,290.0,2000000000000.0,21999999999.999992,True
129297600000000.02,1.407215664617822e-07,2.0030195489744607e-05,3.9883913683383354e-14,0.006862334143010001,6271550701162.159,47429836280405.43,290.0,2000000000000.0,21999999999.999992,True
132451200000000.0,1.4072117983015033e-07,2.003030183424341e-05,3.988376637907254e-14,0.006862334142981544,6271567918118.523,47431031346513.77,290.0,2000000000000.0,21999999999.999992,True
135604800000000.0,1.407215492791814e-07,2.0030203774684768e-05,3.9883901354003516e-14,0.006862334143008421,6271549314855.446,47429891221404.016,290.0,2000000000000.0,21999999999.999992,True
138758400000000.02,1.4072150612075939e-07,2.003021186538231e-05,3.988388951228618e-14,0.006862334143005188,6271555557217.226,47430018799333.19,290.0,2000000000000.0,21999999999.999992,True
141912000000000.0,1.4072117224117677e-07,2.003030307858072e-05,3.9883764006966475e-14,0.006862334142980832,6271569904315.148,47431052331927.6,290.0,2000000000000.0,21999999999.999992,True
145065600000000.03,1.4072109505076298e-07,2.003032264262573e-05,3.988373821171384e-14,0.006862334142975533,6271573145928.263,47431290470806.32,290.0,2000000000000.0,21999999999.999992,True
148219200000000.0,1.4072171678738254e-07,2.003016297757183e-05,3.988395732362349e-14,0.006862334143020483,6271537726955.761,47429380800347.695,290.0,2000000000000.0,21999999999.999992,True
