time,O2,CH4,OH,H2O,O3_col,S8AER_col,T_time,O2_flux,ri_flux
3153600000000.0,7.222748510911353e-08,6.437063987690794e-05,1.6258322198732102e-14,0.00686232294284097,3586192613917.5723,384412714440722.0,290.0,1800000000000.0,33000000000.0
6307200000000.0,7.222754010421774e-08,6.437047760354797e-05,1.6258363522201426e-14,0.006862322942903209,3586197521202.7856,384412337558933.56,290.0,1800000000000.0,33000000000.0
9460800000000.002,7.22275373837998e-08,6.437049069123758e-05,1.6258361737412852e-14,0.006862322942903313,3586196974862.475,384412358669990.9,290.0,1800000000000.0,33000000000.0
12614400000000.0,7.222751546770739e-08,6.437055077125365e-05,1.6258345211148378e-14,0.006862322942876125,3586195278048.2896,384412507107083.5,290.0,1800000000000.0,33000000000.0
15768000000000.0,7.222750350726757e-08,6.437057993427044e-05,1.625833644092674e-14,0.00686232294286026,3586194558406.481,384412588516636.25,290.0,1800000000000.0,33000000000.0
18921600000000.004,7.222752502543332e-08,6.437052078277179e-05,1.6258352527281917e-14,0.006862322942886461,3586196222054.099,384412441414280.0,290.0,1800000000000.0,33000000000.0
22075200000000.004,7.222757419247169e-08,6.437041076365022e-05,1.625838498499374e-14,0.0068623229429462425,3586198976341.111,384412099862320.7,290.0,1800000000000.0,33000000000.0
25228800000000.0,7.222760691680942e-08,6.437028293877935e-05,1.625840986239141e-14,0.006862322942969027,3586203632649.083,384411869209653.4,290.0,1800000000000.0,33000000000.0
28382400000000.0,7.222759217041676e-08,6.437034474832123e-05,1.625840331335132e-14,0.0068623229429740674,3586200953210.061,384411989592565.1,290.0,1800000000000.0,33000000000.0
31536000000000.0,7.22274654107451e-08,6.437068317640315e-05,1.6258307643493155e-14,0.006862322942812208,3586191684189.1636,384412845136060.7,290.0,1800000000000.0,33000000000.0
34689600000000.004,7.222720378049133e-08,6.437136592518974e-05,1.6258119529956386e-14,0.006862322942497183,3586172740290.2583,384414641339449.3,290.0,1800000000000.0,33000000000.0
37843200000000.01,7.222746047750622e-08,6.437069332235929e-05,1.6258314264076665e-14,0.006862322942833943,3586190771935.885,384412913381566.9,290.0,1800000000000.0,33000000000.0
40996800000000.0,7.222751856616209e-08,6.437053944599853e-05,1.6258347804810918e-14,0.006862322942879334,3586195658778.33,384412485998839.9,290.0,1800000000000.0,33000000000.0
44150400000000.01,7.222753043706312e-08,6.437050599369003e-05,1.6258356460988298e-14,0.0068623229428927774,3586196648824.4604,384412404324819.0,290.0,1800000000000.0,33000000000.0
47304000000000.0,7.222750625792003e-08,6.43705502938781e-05,1.6258339224698494e-14,0.006862322942855002,3586195960631.3936,384412564924515.5,290.0,1800000000000.0,33000000000.0
50457600000000.0,7.222724170405686e-08,6.4371296613891e-05,1.625814484123062e-14,0.006862322942551475,3586174080301.617,384414377096335.5,290.0,1800000000000.0,33000000000.0
53611200000000.01,7.22276162277978e-08,6.437023572092277e-05,1.625841775489329e-14,0.006862322942972536,3586205499804.67,384411801302386.8,290.0,1800000000000.0,33000000000.0
56764800000000.0,7.222727018757034e-08,6.437120092338668e-05,1.6258165843678418e-14,0.0068623229425770265,3586177348177.057,384414181772005.06,290.0,1800000000000.0,33000000000.0
59918400000000.01,7.22272900721505e-08,6.437119337998546e-05,1.6258183947259963e-14,0.006862322942633235,3586175844237.518,384414070683342.94,290.0,1800000000000.0,33000000000.0
63072000000000.0,7.222729779563404e-08,6.437113917033999e-05,1.625818929993092e-14,0.006862322942625565,3586178411646.516,384414008770501.75,290.0,1800000000000.0,33000000000.0
66225600000000.0,7.222728332937303e-08,6.437118991850238e-05,1.6258173546136425e-14,0.006862322942599148,3586176986580.563,384414091776283.2,290.0,1800000000000.0,33000000000.0
69379200000000.01,7.222749294892446e-08,6.437061046368955e-05,1.6258329966883814e-14,0.006862322942852144,3586193521499.123,384412664456044.44,290.0,1800000000000.0,33000000000.0
72532800000000.02,7.222748976321934e-08,6.437028043235551e-05,1.6258282886046746e-14,0.006862322942556494,3586215578217.7754,384412413053652.7,290.0,1800000000000.0,33000000000.0
75686400000000.02,7.22272968853818e-08,6.437114836469328e-05,1.6258187062410778e-14,0.006862322942623204,3586177848300.3037,384414009616515.25,290.0,1800000000000.0,33000000000.0
78840000000000.0,7.222759157433286e-08,6.437034403144135e-05,1.6258404660394868e-14,0.006862322942977325,3586200967972.4424,384411998326092.44,290.0,1800000000000.0,33000000000.0
81993600000000.0,7.222755571371159e-08,6.437043231759085e-05,1.6258374203214394e-14,0.00686232294291827,3586198946575.013,384412227783534.56,290.0,1800000000000.0,33000000000.0
85147200000000.0,7.222759296103288e-08,6.437033696985643e-05,1.6258402146928217e-14,0.006862322942967328,3586201462286.081,384411976607756.8,290.0,1800000000000.0,33000000000.0
88300800000000.02,7.222753321585652e-08,6.437049716777545e-05,1.625835782427442e-14,0.006862322942893563,3586196987302.299,384412383081959.8,290.0,1800000000000.0,33000000000.0
91454400000000.02,7.222741202008851e-08,6.43707773694643e-05,1.625827050288429e-14,0.006862322942729658,3586190382582.818,384413202153718.44,290.0,1800000000000.0,33000000000.0
94608000000000.0,7.222757691672045e-08,6.437038438569902e-05,1.625839190006246e-14,0.006862322942954367,3586199925169.491,384412093082751.1,290.0,1800000000000.0,33000000000.0
97761600000000.0,7.222752511256929e-08,6.437051946112682e-05,1.6258351987044283e-14,0.006862322942884319,3586196330872.5186,384412438428262.56,290.0,1800000000000.0,33000000000.0
