time,O2,CH4,OH,H2O,O3_col,S8AER_col,T_time,O2_flux,type
31536000000000.0,5.023064511784256e-08,0.00017608668818635384,7.802678265388e-15,0.0007086733816755819,4871720003399.752,53534540557218.36,260.0,1500000000000.0005,steady state
31536000000000.0,4.981691578351554e-08,0.00012373420619003493,9.975785761773115e-15,0.0016955819588686646,3684596310200.61,141312485012534.6,270.0,1500000000000.0005,steady state
31536000000000.0,5.4084641805782634e-08,5.7964136519496265e-05,1.817224045235862e-14,0.0035676893035083645,4034929361119.9565,194830802241428.25,280.0,1500000000000.0005,steady state
31536000000000.0,4.802439418429329e-08,9.880730119206978e-05,9.820730382196071e-15,0.006862311567656466,2199366198091.039,445733483805149.5,290.0,1500000000000.0005,steady state
31536000000000.0,5.825143108627601e-08,3.729801575912328e-05,2.0560810035372273e-14,0.012541858301613673,3106507551699.5923,459466210199899.8,300.0,1500000000000.0005,steady state
31536000000000.0,7.253818113513223e-08,1.7211974211916377e-05,3.4155560061780084e-14,0.021782329105989755,2766550840926.918,316459706107634.8,310.0,1500000000000.0005,steady state
31536000000000.0,9.09538810396137e-08,8.521642263721985e-06,5.09279755101866e-14,0.035941921986113436,2858830788080.4575,78049438413817.75,320.0,1500000000000.0005,steady state
31536000000000.0,0.0032651007371452766,3.1513576214257664e-07,2.7330385259586634e-13,0.05625273431354921,2.8669074120608026e+17,-2.2471582477079096e-52,330.0,1500000000000.0005,steady state
31536000000000.0,0.005881832624285354,1.0316716864429253e-07,1.4596231212097548e-12,0.0833113923785327,7.72471963083824e+16,2.9013342655980104e-52,340.0,1500000000000.0005,steady state
31536000000000.0,0.008432711882894585,8.594982209762744e-08,1.4367361378132163e-12,0.11638600606808405,4.848194141953503e+16,-3.2833064180315692e-52,350.0,1500000000000.0005,steady state
31536000000000.0,5.6710525322366117e-08,0.00015766912033618206,1.0295630620724258e-14,0.0002762274324539094,8635610514762.114,5113581277235.488,250.0,1550000000000.0005,steady state
31536000000000.0,5.351317136999601e-08,0.00015980215772003325,8.8951970928253e-15,0.0007086740694688275,5304213928843.691,36640148605521.39,260.0,1550000000000.0005,steady state
31536000000000.0,5.335350886083882e-08,0.0001131416046762646,1.1168761995910327e-14,0.0016955828934986264,4031220765306.377,115104182327363.9,270.0,1550000000000.0005,steady state
31536000000000.0,5.81864092400989e-08,5.517091739507862e-05,1.9347048194577865e-14,0.003567689798733353,4270999378428.521,175035467086462.34,280.0,1550000000000.0005,steady state
31536000000000.0,5.187541219544876e-08,8.799671439485949e-05,1.1184873867628442e-14,0.006862315148135589,2494796817268.0957,434974552908423.56,290.0,1550000000000.0005,steady state
31536000000000.0,6.233340950426215e-08,3.652045801995374e-05,2.1293810397806786e-14,0.01254185894951584,3235711555663.4116,451471412090673.3,300.0,1550000000000.0005,steady state
31536000000000.0,7.870474604490283e-08,1.6687726076028587e-05,3.5216867932660494e-14,0.021782329708587875,2911546580055.2188,296291174256333.75,310.0,1550000000000.0005,steady state
31536000000000.0,1.0209836969769145e-07,7.897691257908023e-06,5.3415492658929025e-14,0.03594192287080882,3111617478277.4746,49755722272358.47,320.0,1550000000000.0005,steady state
31536000000000.0,0.0037205439855908344,3.7821936116604256e-07,2.1193049597384152e-13,0.0562528253942677,3.344464641898803e+17,-2.7667373140044806e-52,330.0,1550000000000.0005,steady state
31536000000000.0,0.006663525517025522,1.1624885213642932e-07,1.2113698862606539e-12,0.08331161720675041,8.771873316360451e+16,-2.9759648081882054e-52,340.0,1550000000000.0005,steady state
31536000000000.0,0.009156975376535344,9.415913789340621e-08,1.2640605698053895e-12,0.11638628877778456,5.159750599557762e+16,3.229393534678039e-52,350.0,1550000000000.0005,steady state
31536000000000.0,6.088896460146651e-08,0.00014092435674936714,1.1817134541543228e-14,0.00027622771129554664,9240709066235.715,2520256536496.151,250.0,1600000000000.0005,steady state
31536000000000.0,5.729384824749803e-08,0.00014369672857857403,1.0178751752118867e-14,0.000708674711111012,5781924200868.641,22984887360745.45,260.0,1600000000000.0005,steady state
31536000000000.0,5.70626462462184e-08,0.00010516820998266074,1.227440401966038e-14,0.0016955835877830625,4355315150582.2515,93329000844110.2,270.0,1600000000000.0005,steady state
31536000000000.0,6.261416986628667e-08,5.269275718701842e-05,2.0512632793330956e-14,0.0035676902312058592,4507281543084.406,155628942628264.22,280.0,1600000000000.0005,steady state
